Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
,,,,,,,,180,8072.061121,10141.27497,21106.63055,50417.68394,18761.76248,6925.479098,8253.399384,8433.769059,32851.05734
,,,,,,,,181,8095.416676,10141.9718,21183.56566,50483.21974,18865.26631,6890.774986,8375.314306,8351.832702,32913.05401
,,,,,,,,182,8266.690178,10238.06623,21175.89257,50688.37073,19571.63787,6932.946949,8636.575861,8513.209699,33391.49848
,,,,,,,,183,8474.743401,10573.73899,21209.48998,51081.36304,20501.55879,6988.732641,9069.492296,8702.595286,34528.38456
,,,,,,,,184,8550.814645,10724.09057,21593.71582,51201.06767,20683.85336,6998.090253,9134.750895,8631.32239,35054.1783
,,,,,,,,185,8549.614914,10648.05255,22152.53294,51106.06775,20582.00174,6982.147962,9077.723275,8526.345329,35015.71759
,,,,,,,,186,8488.00007,10479.39636,22162.95986,50948.5922,20194.36996,6961.937416,8908.172728,8326.533742,34754.91475
,,,,,,,,187,8420.743491,10297.13266,22014.46282,50670.53278,19569.48457,6902.429003,8629.03598,8082.167117,34346.67865
,,,,,,,,188,8202.980971,9959.922516,21787.53933,50299.99246,18619.9297,6813.5682,8180.723949,7767.797541,33612.11388
,,,,,,,,189,8058.517718,9548.878857,21409.39951,49845.9836,17416.56467,6731.716866,7689.17145,7376.342943,32886.7936
,,,,,,,,190,7925.061714,9269.085836,20622.94153,49438.15693,16136.80473,6661.017757,7212.267282,7134.591859,32319.72402
,,,,,,,,191,7868.848874,9126.499865,20017.02865,49180.35947,15466.5584,6638.669195,6910.378155,7046.387619,32162.32617
,,,,,,,,192,7899.166389,9025.692,19583.8712,49017.73284,14993.07009,6631.47336,6658.271974,7012.2954,32053.36332
,,,,,,,,193,7972.578898,8993.472292,19287.34068,48959.47574,14640.48739,6638.637704,6536.48239,7052.077009,32084.2076
,,,,,,,,194,8012.851569,8968.256542,19076.00895,49001.72578,14495.23775,6656.144795,6571.007195,7180.617276,32414.22956
,,,,,,,,195,8151.173854,9094.43641,18988.36293,49180.25746,14687.42358,6703.96255,6754.900543,7485.893175,33060.55984
,,,,,,,,196,8404.280254,9324.317593,19081.37938,49509.64037,15253.38825,6787.916069,7162.497321,7956.812518,33923.42173
,,,,,,,,197,8675.517284,9559.341119,19347.05864,50016.68409,16100.06324,6880.881582,7687.564669,8434.540059,34838.30038
,,,,,,,,198,8891.84483,9782.640273,19717.89893,50489.31171,17035.95379,6954.30431,8260.022126,8843.974155,35613.54009
,,,,,,,,199,9106.568308,9964.387276,19969.26828,50958.82302,17737.55605,7058.182268,8705.105619,9187.331618,36235.88956
,,,,,,,,200,9200.648345,10103.20071,20074.71148,51211.61799,17965.70872,7114.665107,8894.04316,9316.334777,36309.8226
,,,,,,,,201,9217.484505,10102.72225,20099.50941,51343.53256,18052.03066,7124.057363,8883.207927,9351.849718,36152.67646
,,,,,,,,202,9143.66008,10088.54481,20106.84443,51342.19672,18083.1319,7104.320777,8659.615098,9241.661303,35859.02549
,,,,,,,,203,9045.370905,10024.42608,20141.0248,51364.80484,18138.46396,7079.307118,8633.140571,9149.849986,35591.58543
,,,,,,,,204,9031.459834,9991.076841,20055.16926,51471.28393,18509.19166,7063.870935,8738.655371,9118.620389,35360.58967
