Time,Month,Day,Hour,APS,ATSI,COMED,DOM,AE,PS,PECO,JCPL,DPL,RECO,PENLC,BGE,PEPCO,METED,PL,AEP,DAY,DLCO,DEOK,EKPC,OVEC
4302,6,180,7,6763.902929,10997.44702,12989.5257,15894.89069,2279.080511,8468.219343,6987.384817,5123.398884,3374.601174,332.9547059,2583.80937,5878.83818,5357.114665,2601.237669,6358.442346,18018.10191,2641.461304,2247.847411,4293.938434,1742.746743,71.66721998
4303,6,180,8,7153.630267,11570.61022,14026.73768,16538.61079,2418.572589,8986.52026,7415.050636,5436.978662,3581.145054,353.3333383,2704.987451,6167.95394,5620.57255,2699.969002,6599.780342,19124.48058,2803.656882,2385.873628,4557.602272,1849.757894,76.06785465
4304,6,180,9,7449.488835,12024.89879,15046.24281,16962.49617,2526.966211,9389.270824,7747.37235,5680.648754,3741.641903,369.1687448,2758.504318,6412.586824,5843.495239,2780.482633,6796.58715,20198.78044,2961.149692,2519.897853,4813.621329,1953.666319,80.34089543
4305,6,180,10,7721.015147,12076.47726,15950.57965,17300.91088,2587.033623,9612.459089,7931.531763,5815.680981,3830.582843,377.9440942,2807.006879,6566.5148,5983.762719,2829.865231,6917.297537,20908.95007,3065.260858,2608.49503,4982.86361,2022.355341,83.16560378
4306,6,180,11,7819.208321,11934.89324,16800.50087,17516.91368,2579.699181,9585.207019,7909.045252,5799.193072,3819.722842,376.8725933,2820.039877,6666.742037,6075.095187,2848.248629,6962.233751,21255.12289,3116.009939,2651.681803,5065.360911,2055.837867,84.5425104
4307,6,180,12,7909.146959,11597.0857,17515.04062,17564.33747,2576.404122,9572.963797,7898.942998,5791.78574,3814.843895,376.3912124,2832.841098,6723.81618,6127.104227,2863.786413,7000.214173,21232.36293,3112.673319,2648.842385,5059.936928,2053.636478,84.45198237
4308,6,180,13,8002.817363,11351.76751,17952.93629,17592.08943,2572.890414,9559.908162,7888.170397,5783.886886,3809.6412,375.877889,2818.199368,6797.001022,6193.794205,2875.860314,7029.727509,21198.51233,3107.710808,2644.619356,5051.86991,2050.362381,84.31734123
4309,6,180,14,8034.767435,11268.4475,18277.70663,17558.18824,2535.819571,9422.166634,7774.515682,5700.55121,3754.750945,370.4621472,2782.320822,6751.464303,6152.298689,2875.933571,7029.906578,21037.25856,3084.070937,2624.50215,5013.441124,2034.765595,83.67595238
4310,6,180,15,8009.782578,11253.08585,18587.28039,17465.89708,2451.691414,9109.577551,7516.588941,5511.430157,3630.183613,358.1717232,2727.711839,6645.820933,6056.030748,2854.294589,6977.012443,20794.50044,3048.482495,2594.216873,4955.588837,2011.285545,82.71037901
4311,6,180,16,7867.612581,10953.23471,18625.97258,17240.03409,2358.676208,8763.967485,7231.415586,5302.330917,3492.457359,344.5829753,2623.128601,6461.658029,5888.21157,2778.133428,6790.844775,20147.75655,2953.669569,2513.532371,4801.461701,1948.731187,80.1379473
4312,6,180,17,7607.70878,10637.77961,18215.08251,16893.32009,2299.225531,8543.070781,7049.14701,5168.685119,3404.429611,335.8977258,2570.620169,6311.559808,5751.433969,2684.387224,6561.692382,19344.29545,2835.881834,2413.296621,4609.986898,1871.018827,76.94217098
4313,6,180,18,7434.508925,10404.55385,17555.905,16537.61727,2229.501142,8284.000765,6835.380476,5011.943899,3301.189727,325.7115725,2510.376448,6132.405536,5588.178926,2595.512881,6344.448725,18785.15358,2753.911401,2343.540905,4476.736416,1816.93751,74.71817737
4314,6,180,19,6976.404477,9949.317475,16959.9809,15831.89799,2103.957565,7817.527318,6450.479077,4729.720514,3115.29919,307.3707002,2374.463455,5759.046916,5247.954399,2419.673068,5914.627442,17769.58258,2605.028267,2216.843395,4234.713179,1718.709459,70.67873135
4315,6,180,20,6527.218547,9323.88964,16451.8111,15030.06583,1958.297421,7276.308154,6003.902717,4402.274855,2899.622346,286.0909647,2205.947118,5367.479032,4891.136608,2252.002425,5504.774804,16562.01998,2427.999082,2066.193982,3946.935948,1601.911596,65.87563636
4316,6,180,21,6076.29574,8682.715186,15423.58339,14301.95052,1805.771296,6709.577545,5536.276089,4059.394391,2673.779143,263.8081665,2066.787902,4953.887263,4514.249464,2076.003144,5074.56372,15378.61739,2254.511766,1918.558651,3664.916351,1487.450538,61.16863816
